0;50
0.020406081;48.99500051
0.081624324;48.00020406
0.183654729;47.01561065
0.326497296;46.04122028
0.510152025;45.07703296
0.734618916;44.12304867
0.99989797;43.17926742
1.305989185;42.24568922
1.652892562;41.32231405
2.040608101;40.40914192
2.469135802;39.50617284
2.938475666;38.6134068
3.448627691;37.73084379
3.999591878;36.85848383
4.591368228;35.99632691
5.223956739;35.14437302
5.897357413;34.30262218
6.611570248;33.47107438
7.366595245;32.64972962
8.162432405;31.8385879
8.999081726;31.03764922
9.87654321;30.24691358
10.79481686;29.46638098
11.75390266;28.69605142
12.75380063;27.93592491
13.79451076;27.18600143
14.87603306;26.44628099
15.99836751;25.7167636
17.16151413;24.99744924
18.36547291;24.28833792
19.61024385;23.58942965
20.89582696;22.90072442
22.22222222;22.22222222
23.58942965;21.55392307
24.99744924;20.89582696
26.44628099;20.24793388
27.93592491;19.61024385
29.46638098;18.98275686
31.03764922;18.36547291
32.64972962;17.758392
34.30262218;17.16151413
35.99632691;16.5748393
37.73084379;15.99836751
39.50617284;15.43209877
41.32231405;14.87603306
43.17926742;14.33017039
45.07703296;13.79451076
47.01561065;13.26905418
48.99500051;12.75380063
51.01520253;12.24875013
53.07621671;11.75390266
55.17804306;11.26925824
57.32068156;10.79481686
59.50413223;10.33057851
61.72839506;9.87654321
63.99347005;9.432710948
66.29935721;8.999081726
68.64605652;8.575655545
71.033568;8.162432405
72.73094582;7.879706152
73.96551372;7.683297623
75.22048771;7.491990613
76.49586777;7.305785124
77.79165391;7.124681155
79.10784614;6.948678706
80.44444444;6.777777778
81.80144883;6.61197837
83.1788593;6.451280482
84.57667585;6.295684114
85.99489848;6.145189266
87.43352719;5.999795939
88.89256198;5.859504132
90.37200286;5.724313846
91.87184981;5.594225079
93.39210285;5.469237833
94.93276196;5.349352107
96.49382716;5.234567901
98.07529844;5.124885216
99.6771758;5.020304051
101.2994592;4.920824406
102.9421488;4.826446281
104.6052444;4.737169677
106.288746;4.652994592
107.9926538;4.573921028
109.7169677;4.499948985
111.4616876;4.431078461
113.2268136;4.367309458
115.0123457;4.308641975
116.8182838;4.255076013
118.6446281;4.20661157
120.4913784;4.163248648
122.3585348;4.124987246
124.2460973;4.091827365
126.1540659;4.063769003
128.0824406;4.040812162
130.0312213;4.022956841
132.0004081;4.010203041
133.990001;4.00255076
136;4
